name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Brooklyn Garden Apartment ,Brooklyn,Bedford-Stuyvesant,40.68313,-73.9413,Entire home/apt,119,2,209,2019-06-19,3.62,1,241
Bohemian Den in Chinatown-New York,Manhattan,Lower East Side,40.71421,-73.98793,Entire home/apt,180,6,24,2018-10-10,0.41,2,51
Stylish 2bdr harlem brownstone,Manhattan,Harlem,40.81453,-73.94807,Entire home/apt,226,3,8,2015-10-19,0.14,3,303
North Park Slope Studio,Brooklyn,Park Slope,40.67814,-73.9778,Entire home/apt,155,2,2,2015-12-01,0.04,1,0
Best Location NYC! Studio in heart of The Village,Manhattan,West Village,40.73455,-74.00614,Entire home/apt,115,4,16,2017-03-17,0.27,1,0
Ditmas Park townhouse front bedroom,Brooklyn,Flatbush,40.64119,-73.96295,Private room,50,2,4,2015-10-29,0.07,1,0
Large apartment in Manhattan UWS,Manhattan,Morningside Heights,40.80395,-73.96436,Entire home/apt,600,1,0,,,3,344
Private Suite/Bath in Manhattan NYC,Manhattan,Morningside Heights,40.80452,-73.96393,Private room,200,1,30,2018-04-30,0.52,3,0
Sunny 1 BR Brooklyn Loft Apartment ,Brooklyn,Clinton Hill,40.68329,-73.9609,Entire home/apt,157,4,3,2014-10-22,0.05,1,0
Hancock House cozy Garden Level,Brooklyn,Bedford-Stuyvesant,40.6835,-73.92754,Entire home/apt,145,3,122,2019-06-10,2.14,1,269
Charming New York town house,Queens,Glendale,40.70591,-73.89264,Private room,95,2,46,2017-06-23,1.15,1,0
Cozy Parkside 1 Bedroom Apartment,Manhattan,Harlem,40.80489,-73.95759,Entire home/apt,115,1,1,2014-09-25,0.02,1,0
Convenient and Affordable in the Heart of Astoria,Queens,Astoria,40.76294,-73.91545,Private room,65,2,5,2019-07-07,5.0,1,2
One Bedroom in Heart of Harlem,Manhattan,Harlem,40.80655,-73.94854,Entire home/apt,275,1,0,,,1,0
"Private room in Astoria, NY!!",Queens,Astoria,40.75568,-73.91578,Private room,250,2,22,2018-01-02,0.43,1,123
Amazing Private Room in the Heart of Manhattan,Manhattan,Little Italy,40.72023,-73.99693,Private room,95,3,135,2019-06-16,2.31,1,9
Spacious Park Slope brownstone,Brooklyn,Park Slope,40.66972,-73.97954,Entire home/apt,185,4,111,2019-06-07,1.9,1,9
1C.  Private  Rm in Guesthouse Manhattan,Manhattan,East Harlem,40.80732,-73.93775,Private room,55,1,163,2019-05-14,2.76,10,359
Located in the heart of NoLita.,Manhattan,Nolita,40.72322,-73.99351,Entire home/apt,350,1,1,2016-01-05,0.02,1,0
Big Bedroom in Sunny & New Lower East Side Apt,Manhattan,Lower East Side,40.71891,-73.98592,Private room,170,5,22,2018-10-14,0.38,1,259
Turn of the Century Railroad Flat /4 day Wknd,Brooklyn,Park Slope,40.66723,-73.98043,Entire home/apt,100,2,18,2019-06-24,0.31,1,58
Sunny Private Bedroom,Manhattan,Washington Heights,40.84787,-73.93306,Private room,36,2,10,2017-10-01,0.2,1,0
Comfortable room in Brooklyn,Brooklyn,Gowanus,40.68163,-73.98088,Private room,60,1,1,2014-09-21,0.02,1,0
Sunny Room in Bedstuy,Brooklyn,Bedford-Stuyvesant,40.67918,-73.95318,Private room,125,2,1,2015-06-05,0.02,1,0
"Beautiful, Bright, Williamsburg apt",Brooklyn,Williamsburg,40.71908,-73.95675,Entire home/apt,120,2,135,2019-07-03,2.32,1,66
One Bed Studio at Wall Street,Manhattan,Financial District,40.70457,-74.00733,Shared room,90,1,8,2015-05-21,0.14,2,0
SPACIOUS STUDIO-HIGH END FINISHES,Manhattan,Harlem,40.81586,-73.94117,Entire home/apt,129,5,91,2019-06-17,1.63,2,260
"Personal, Private and Pretty NYC Apartment",Queens,Elmhurst,40.74561,-73.88514,Entire home/apt,78,2,133,2019-06-23,2.26,5,107
Luxury 1 Bedroom Sublet ,Manhattan,Lower East Side,40.72102,-73.98622,Entire home/apt,120,1,0,,,1,0
Clean Bedroom in Greenwich Village,Manhattan,Greenwich Village,40.72924,-74.00148,Private room,99,2,21,2017-11-02,0.36,1,268
Comfortable Private space with a terrace,Bronx,Norwood,40.87786,-73.87641,Private room,50,1,108,2019-06-28,1.84,1,261
Prewar classic NYC apartment.,Manhattan,Washington Heights,40.83456,-73.94344,Private room,16,14,0,,,1,0
Beautiful airy room in nice family home,Bronx,University Heights,40.85696,-73.91439,Private room,47,2,122,2019-07-02,2.15,4,71
Sunny and comfortable 2 bedroom apt,Brooklyn,Bedford-Stuyvesant,40.68693,-73.95725,Entire home/apt,150,5,18,2019-06-26,2.57,3,254
The Lighthouse Manor,Staten Island,Lighthouse Hill,40.57718,-74.13981,Entire home/apt,200,2,49,2018-12-31,0.92,1,360
Big New York City Suite Near Subway,Brooklyn,Crown Heights,40.66649,-73.92855,Entire home/apt,125,2,130,2019-06-23,2.23,1,293
Brooklyn 1 BR Near Subway,Brooklyn,Crown Heights,40.67441,-73.92371,Entire home/apt,60,6,144,2019-06-18,2.5,2,59
Chic and peaceful,Queens,Jackson Heights,40.7525,-73.88592,Private room,200,30,0,,,1,88
"Bright, Spacious Studio in Brooklyn",Brooklyn,Flatbush,40.62918,-73.96348,Entire home/apt,100,3,9,2016-04-05,0.16,1,0
"Cozy, Safe & Clean room in Astoria",Queens,Astoria,40.76269,-73.90816,Private room,99,1,15,2019-02-16,0.26,1,322
Bright room with private bathroom,Manhattan,Washington Heights,40.83428,-73.94738,Private room,75,2,25,2019-05-30,0.53,1,198
"HUGE, PRIVATE BATH, STEPS FRM TRAIN",Brooklyn,Williamsburg,40.70588,-73.95422,Private room,140,5,1,2014-09-14,0.02,6,185
Harmonious Sanctuary near Yankee Stadium.,Bronx,Concourse Village,40.83331,-73.91742,Entire home/apt,90,30,1,2017-05-12,0.04,1,358
Couch in times square,Manhattan,Theater District,40.75974,-73.9866,Shared room,59,2,58,2019-06-01,0.99,1,345
1BR Apartment- Fantastic Location!,Manhattan,East Village,40.73118,-73.98794,Entire home/apt,111,3,51,2019-04-29,0.88,1,198
"Cozy 1 bedroom + air mattress, 2 cats, sleeps 3",Manhattan,Washington Heights,40.83469,-73.93961,Entire home/apt,80,4,3,2018-12-06,0.05,1,0
Private Room In A Comfy 3BR Apt,Brooklyn,Crown Heights,40.67152,-73.92687,Private room,80,1,0,,,1,0
Harlem Knight - the heart of Manhattan,Manhattan,Harlem,40.81118,-73.93977,Private room,50,14,5,2017-05-26,0.14,1,0
LES Studio with Large Patio,Manhattan,Chinatown,40.71399,-73.99107,Entire home/apt,300,4,7,2016-04-02,0.12,1,0
Ft Greene / Garden / Sauna,Brooklyn,Fort Greene,40.6878,-73.97167,Entire home/apt,90,4,3,2017-07-30,0.12,1,0
Spacious and Sunny Private Bedroom!,Manhattan,East Village,40.72087,-73.97952,Private room,119,1,49,2019-06-19,1.4,1,84
NYC-Great Cost x Benefit-Huge Room-Next to Subway.,Queens,Astoria,40.7653,-73.92661,Private room,69,4,22,2019-06-04,0.38,1,311
Beautiful Upper West 1 BR Apartment,Manhattan,Upper West Side,40.7908,-73.97723,Entire home/apt,260,2,0,,,1,0
Spacious Sunny 2BR/Prime Greenpoint,Brooklyn,Greenpoint,40.72414,-73.95355,Entire home/apt,185,2,114,2019-07-07,1.94,1,16
Jackson Heights charmer!,Queens,Jackson Heights,40.7517,-73.89478,Entire home/apt,100,2,24,2018-12-30,0.42,1,0
Central Park Housing,Manhattan,Upper West Side,40.77222,-73.98923,Shared room,85,1,33,2015-12-28,0.56,1,0
1 BR in Exposed Brick SoHo apt,Manhattan,SoHo,40.71972,-73.99986,Private room,135,2,125,2019-06-16,2.14,2,340
Mid-Century Modern En-Suite in Brownstone!,Brooklyn,Park Slope,40.66898,-73.97831,Private room,169,1,151,2019-01-19,2.58,4,0
Harmony House 3 on Madison Street,Brooklyn,Bedford-Stuyvesant,40.68852,-73.92393,Private room,38,2,50,2019-06-25,1.35,3,126
Cozy Contempo Rustic Chic (stay w/a local artist!),Brooklyn,Bushwick,40.70102,-73.92864,Private room,90,2,52,2019-05-22,2.21,1,288
Cozy Chic Uptown Home,Manhattan,Harlem,40.8242,-73.93789,Private room,45,4,1,2016-06-02,0.03,1,0
Wow!  Two Bedroom Apartment in Safe Neighborhood!,Brooklyn,Windsor Terrace,40.6501,-73.97985,Entire home/apt,149,4,143,2019-06-24,2.62,1,254
Quiet 2 bdrm in cozy Clinton Hill!,Brooklyn,Clinton Hill,40.68436,-73.96223,Entire home/apt,200,2,14,2016-11-29,0.24,1,0
Spacious Apartment with River Views!,Manhattan,Roosevelt Island,40.76365,-73.94914,Entire home/apt,125,60,6,2019-06-30,0.11,1,278
Apartment in Heart of Greenpoint,Brooklyn,Greenpoint,40.72607,-73.95103,Private room,65,2,26,2019-06-20,0.45,2,6
Two-Bedroom Greenpoint Apartment,Brooklyn,Greenpoint,40.72527,-73.95016,Entire home/apt,174,2,31,2019-06-02,0.54,2,12
Beautiful room with bathroom,Brooklyn,Bedford-Stuyvesant,40.69361,-73.93848,Private room,89,2,24,2019-05-31,0.41,5,339
Artist's Creative Cozy Studio in Park Slope,Brooklyn,South Slope,40.66202,-73.98589,Entire home/apt,150,3,8,2019-05-27,0.15,1,0
"Lots of space, great location",Brooklyn,Prospect-Lefferts Gardens,40.66042,-73.95915,Private room,75,18,0,,,1,0
Small Private Room for 1 person,Queens,Ozone Park,40.6844,-73.8472,Private room,58,1,2,2015-08-16,0.04,2,364
awesome location.,Brooklyn,Park Slope,40.67017,-73.97752,Private room,103,30,45,2016-10-05,0.82,1,0
Comfortable & Spacious Home in NYC,Manhattan,Hell's Kitchen,40.76331,-73.99262,Entire home/apt,383,3,24,2019-06-28,0.41,1,251
Stay in Clinton Hill sprout house!,Brooklyn,Clinton Hill,40.68454,-73.96382,Private room,40,1,1,2015-06-07,0.02,1,0
"Large, Bright, Studio-Style Bedroom",Queens,Long Island City,40.75977,-73.92904,Private room,76,1,14,2019-04-11,0.41,1,225
Spare bedroom for rent in UWS-NYC,Manhattan,Upper West Side,40.79408,-73.9757,Private room,170,1,3,2015-11-10,0.05,2,0
3C. Private Rm in Guesthouse Manhattan,Manhattan,East Harlem,40.80617,-73.93868,Private room,45,1,151,2019-05-09,2.59,10,357
Light Filled Studio,Brooklyn,Bedford-Stuyvesant,40.69587,-73.95114,Private room,100,3,0,,,1,352
Heart of Soho/Nolita,Manhattan,SoHo,40.72525,-73.99636,Entire home/apt,199,2,167,2019-06-23,3.17,1,17
Modern spacious flat in Manhattan,Manhattan,Inwood,40.87279,-73.91991,Entire home/apt,99,5,61,2019-04-21,1.06,1,1
Private Room A,Brooklyn,Sunset Park,40.64047,-74.00842,Private room,39,1,51,2019-06-09,0.88,5,273
Spacious apt. 15 min to Manhattan,Queens,Ridgewood,40.70046,-73.90692,Entire home/apt,60,21,5,2017-10-31,0.1,1,0
Stuvesant East,Brooklyn,Bedford-Stuyvesant,40.68439,-73.92811,Entire home/apt,130,3,132,2019-06-21,2.53,2,257
Williamsburg Gem With Private Patio!,Brooklyn,Williamsburg,40.71236,-73.9379,Entire home/apt,200,1,170,2019-06-30,2.96,1,303
Newly Renovated BR in Heart of BK!,Brooklyn,East Flatbush,40.64434,-73.94831,Private room,65,1,0,,,1,0
Unbelievable Upper East Side Loc.,Manhattan,Upper East Side,40.77462,-73.95461,Private room,105,1,239,2019-06-29,4.13,2,287
1BR condo right by Prospect Park,Brooklyn,East Flatbush,40.65301,-73.95241,Entire home/apt,115,3,64,2018-06-08,1.13,1,0
Urban Rustic Retreat,Manhattan,Harlem,40.81575,-73.9537,Entire home/apt,145,7,34,2017-10-23,0.58,2,0
"""DECO CASA""  2 Bedroom Greenpoint Brooklyn",Brooklyn,Greenpoint,40.73357,-73.95439,Entire home/apt,75,2,102,2019-06-30,4.27,1,30
Luxury Flat with Outdoor and Study Room,Brooklyn,DUMBO,40.70452,-73.98583,Entire home/apt,250,2,150,2019-07-05,2.57,1,309
Room at East 110th St Upper East/E. Harlem,Manhattan,East Harlem,40.7941,-73.94045,Private room,80,2,2,2016-08-26,0.06,1,0
Cozy 1 BR in Exposed Brick SoHo Apt,Manhattan,SoHo,40.71995,-73.99975,Private room,120,3,71,2019-06-11,1.21,2,304
Skylight Room in BK Duplex in Williamsburg,Brooklyn,Williamsburg,40.71413,-73.94868,Private room,100,4,32,2019-06-09,0.56,1,0
Huge shared apt Near Times Sq & Convention Center,Manhattan,Hell's Kitchen,40.75735,-73.99603,Private room,125,10,12,2016-10-16,0.2,1,0
Alcove Studio & Terrace best part of Williamsburg!,Brooklyn,Williamsburg,40.71009,-73.96471,Entire home/apt,132,3,2,2017-12-30,0.05,1,0
Quiet Haven in Park Slope Huge 2BR,Brooklyn,South Slope,40.66693,-73.98801,Entire home/apt,225,2,66,2019-01-02,1.13,1,158
"Bright, Modern loft in Williamsburg",Brooklyn,Williamsburg,40.70808,-73.94757,Entire home/apt,175,2,2,2014-10-12,0.03,1,0
Amazing park view in the LES!!!,Manhattan,Chinatown,40.71585,-73.99014,Entire home/apt,225,3,2,2015-10-04,0.03,1,221
Brooklyn modern 2 BR Garden Floor,Brooklyn,Bedford-Stuyvesant,40.69013,-73.92805,Entire home/apt,215,1,167,2019-06-20,2.86,1,250
Red Hook Architectural with huge outdoor area,Brooklyn,Red Hook,40.67815,-74.01443,Entire home/apt,300,7,9,2019-04-23,0.18,1,32
Classic Brownstone Apartment,Manhattan,Harlem,40.80856,-73.94573,Entire home/apt,130,2,185,2019-06-17,3.76,1,300
1 BDR APARTMENT  7 MINS FROM JFK 5 STAR RATED,Queens,Springfield Gardens,40.67425,-73.75796,Entire home/apt,110,1,279,2019-06-16,5.02,1,355
Unique room w/2 Twin beds..wifi*metro* quiet*safe,Bronx,Eastchester,40.8806,-73.83433,Private room,75,2,37,2019-06-16,0.73,13,364
Big bedroom in Brooklyn!,Brooklyn,Greenpoint,40.72631,-73.94127,Private room,36,14,18,2019-04-27,0.34,1,0
Modern Brooklyn Brownstone,Brooklyn,Bedford-Stuyvesant,40.68634,-73.92516,Entire home/apt,299,4,8,2017-08-02,0.15,1,279
Prime East Village 1 Bedroom,Manhattan,East Village,40.72878,-73.98521,Entire home/apt,200,1,1,2015-05-24,0.02,1,0
Cozy and Convenient – Spacious 1 Bedroom Apartment,Brooklyn,East New York,40.65741,-73.87854,Entire home/apt,110,3,9,2018-12-21,0.16,1,36
"Modern, central WBurg 2BR w/rooftop",Brooklyn,Williamsburg,40.71381,-73.96065,Entire home/apt,160,30,44,2019-06-10,0.76,1,226
Serenity Near Manhattan,Brooklyn,Bedford-Stuyvesant,40.68407,-73.95487,Entire home/apt,152,3,146,2019-05-24,2.51,2,287
Stunning Parlor Garden Apartment,Brooklyn,Clinton Hill,40.6921,-73.96797,Entire home/apt,145,3,16,2019-06-15,0.31,1,96
BUSHWICK (1 block from Jefferson L),Brooklyn,Bushwick,40.70794,-73.92168,Private room,120,2,11,2019-06-22,0.2,2,365
"PRIVATE, Airy, 1 Bedroom Apt in Central Bushwick",Brooklyn,Bushwick,40.7041,-73.92476,Entire home/apt,84,3,120,2019-06-19,2.29,1,224
Entire Manhattan Apt in Upper East,Manhattan,Upper East Side,40.76965,-73.96258,Entire home/apt,160,5,13,2016-09-20,0.22,1,0
"DO DROP IN, LLC",Brooklyn,Bedford-Stuyvesant,40.68387,-73.95373,Entire home/apt,150,5,14,2017-12-27,0.28,2,363
Forest Hills Villa 皇后区“曼哈顿”-森林小丘别墅!,Queens,Forest Hills,40.71291,-73.84678,Entire home/apt,180,2,105,2019-06-25,1.8,5,190
DOMINIQUE'S NY*chic*  quiet room*wifi*metro,Bronx,Eastchester,40.88009,-73.83442,Private room,68,2,41,2019-01-01,0.74,13,365
Soho 1 Bedroom,Manhattan,SoHo,40.72651,-74.00014,Entire home/apt,125,1,0,,,1,1
1 Room & 1 Bath,Brooklyn,Bushwick,40.69216,-73.90859,Private room,25,1,8,2015-01-15,0.14,1,0
THE THOMPSON SUITE,Brooklyn,Bedford-Stuyvesant,40.68663,-73.9379,Entire home/apt,155,3,1,2019-07-01,1.0,2,342
A room with a window,Manhattan,East Village,40.73131,-73.98321,Private room,105,2,0,,,1,0
"Bklyn, private Three Bedroom.",Brooklyn,Canarsie,40.63056,-73.89043,Entire home/apt,75,2,91,2019-06-09,1.56,2,289
Hamilton Heights Convent Ave Apartment,Manhattan,Harlem,40.8236,-73.94743,Private room,80,4,2,2015-12-31,0.05,1,0
"Spacious Bedroom, L.E.S.",Manhattan,Lower East Side,40.71273,-73.9882,Private room,72,3,56,2019-06-30,0.96,2,304
Private Single Room,Brooklyn,Bedford-Stuyvesant,40.68641,-73.94735,Private room,52,2,29,2019-05-05,0.5,4,335
"Convenient, clean and chic apartment",Brooklyn,Carroll Gardens,40.67335,-73.99886,Entire home/apt,125,3,93,2019-06-21,1.82,1,30
Sunny room on quiet block,Manhattan,Upper West Side,40.78156,-73.97796,Private room,85,29,10,2018-12-01,0.36,1,241
Prospect Park Neighborhood Retreat,Brooklyn,Windsor Terrace,40.65157,-73.97383,Private room,58,4,18,2019-07-01,0.42,1,58
Private room in hip east Williamsburg/Greenpoint,Brooklyn,Greenpoint,40.72122,-73.94121,Private room,100,1,36,2019-06-21,2.69,1,335
East Village Queen Bed - Breakfast  - Subway 2 Blk,Manhattan,East Village,40.72333,-73.98838,Private room,65,1,139,2019-06-27,3.64,2,103
Gorgeous Big & Bright Greenpoint Apt,Brooklyn,Greenpoint,40.72452,-73.93916,Entire home/apt,300,1,12,2018-03-30,0.32,1,362
Calm Bushwick Room--Next to subway!,Brooklyn,Bushwick,40.70569,-73.92268,Private room,40,28,191,2019-05-15,3.36,2,95
"Accessible, large & stylish 2BR apt in Astoria!",Queens,Astoria,40.76177,-73.91359,Entire home/apt,110,2,47,2019-07-07,0.81,2,0
Art deco apartment in Brooklyn,Brooklyn,Bay Ridge,40.63745,-74.02534,Private room,85,2,45,2019-06-22,0.77,2,90
The Garden Apartment,Brooklyn,South Slope,40.66617,-73.98627,Entire home/apt,158,3,87,2019-06-26,1.53,1,204
Bright Room in Great Location,Brooklyn,Crown Heights,40.67284,-73.9521,Private room,65,1,0,,,1,0
Beautiful Room in the heart of NYC. Hell's Kitchen,Manhattan,Hell's Kitchen,40.76032,-73.99076,Private room,100,2,8,2018-12-09,0.97,3,0
East Williamsburg Oasis,Brooklyn,Williamsburg,40.71673,-73.94316,Private room,64,5,4,2016-09-11,0.07,1,0
3-LvPenthouse NYC skyline Subwy 50m,Brooklyn,Carroll Gardens,40.67823,-73.99515,Entire home/apt,395,4,33,2018-05-18,0.65,1,158
Charming 2-Bedroom Townhouse Apt,Queens,Sunnyside,40.74947,-73.91472,Entire home/apt,120,10,30,2017-06-22,0.52,1,142
"Large, Sunny 25 min to Central Park",Bronx,Norwood,40.87184,-73.88622,Private room,51,4,109,2019-07-04,1.88,1,212
Large studio in Seaport Area,Manhattan,Two Bridges,40.70989,-74.00105,Entire home/apt,149,6,1,2018-01-01,0.05,1,0
Cosy room in Williamsburg,Brooklyn,Williamsburg,40.7105,-73.9438,Private room,65,1,113,2019-06-21,3.99,1,308
Master Bedroom 别墅二楼主卧房,Queens,Forest Hills,40.71293,-73.84915,Private room,70,1,11,2016-11-05,0.19,5,183
Upper West Side studio with private terrace,Manhattan,Upper West Side,40.79145,-73.97709,Entire home/apt,170,5,1,2014-10-19,0.02,1,0
Large Studio in Luxury Building,Manhattan,Financial District,40.70499,-74.00819,Entire home/apt,150,1,2,2015-06-07,0.04,2,0
Large Garden Alcove Studio Apartment in Manhattan,Manhattan,East Harlem,40.80738,-73.93707,Entire home/apt,75,30,6,2019-05-22,0.12,1,203
Private Room in prime UWS duplex!,Manhattan,Upper West Side,40.78732,-73.97489,Private room,100,1,10,2016-08-17,0.21,1,0
Cute room in Large Crown heights Apartment,Brooklyn,Crown Heights,40.67673,-73.9362,Private room,38,2,12,2018-01-01,0.21,2,351
Quiet Two Bedroom Apartment ,Manhattan,Gramercy,40.73327,-73.98503,Entire home/apt,200,3,13,2015-10-19,0.22,1,157
Great Apt 5min from Time Square NYC,Manhattan,Hell's Kitchen,40.76468,-73.98514,Entire home/apt,145,7,37,2019-02-11,0.65,1,97
Brand New Furnished Brooklyn Apt.,Brooklyn,Crown Heights,40.67822,-73.95883,Entire home/apt,150,5,14,2016-11-01,0.29,1,0
Entire 1BD Apt in Long Island City!,Queens,Long Island City,40.74264,-73.95122,Entire home/apt,200,1,2,2015-12-01,0.04,1,0
Entire Apartment - charming 1BR-20min to Downtown,Brooklyn,Bedford-Stuyvesant,40.67879,-73.93653,Entire home/apt,125,2,191,2019-06-23,3.27,2,311
Sunny Bedroom in quirky apartment,Manhattan,Murray Hill,40.74713,-73.98075,Private room,175,2,8,2019-06-07,0.43,1,177
"Sunny, Spacious 1BR in BoCoCa",Brooklyn,Cobble Hill,40.6883,-73.99132,Entire home/apt,180,2,2,2014-10-18,0.03,1,0
Cute 1 bedroom apt in East Village,Manhattan,East Village,40.72884,-73.98277,Entire home/apt,175,3,6,2016-06-05,0.13,1,18
2 sleeping areas for 2 people together +2 singles,Manhattan,Chelsea,40.75097,-73.99562,Entire home/apt,175,14,78,2019-03-10,1.36,1,0
Large 1 Bedroom apartment with office room.,Brooklyn,Kensington,40.64449,-73.97238,Private room,50,3,8,2016-07-25,0.14,2,14
Beautiful SUNLIGHT in quiet apt!,Brooklyn,Flatbush,40.64335,-73.96316,Entire home/apt,109,2,37,2019-06-16,0.64,1,356
Peaceful Retreat in a Brownstone,Brooklyn,Bedford-Stuyvesant,40.68706,-73.93077,Private room,67,2,21,2019-05-21,0.36,7,58
Haven of Tranquility in Bedstuy,Brooklyn,Bedford-Stuyvesant,40.68707,-73.93247,Private room,57,2,22,2019-03-06,0.38,7,71
Wonderful Getaway in Bedstuy,Brooklyn,Bedford-Stuyvesant,40.68627,-73.93131,Private room,77,2,38,2019-03-16,0.66,7,66
"Great View, only one block to metro",Brooklyn,Bedford-Stuyvesant,40.69485,-73.93387,Private room,80,2,61,2019-05-09,1.05,2,0
Country in the City,Brooklyn,Flatbush,40.63146,-73.96486,Entire home/apt,85,3,12,2018-09-21,0.21,1,97
Spacious Sunny Room,Brooklyn,Bedford-Stuyvesant,40.69562,-73.93792,Private room,86,2,11,2018-01-01,0.19,5,311
Beautiful house top floor 1-3 large bedrooms,Brooklyn,Flatbush,40.63268,-73.96059,Private room,120,2,114,2019-04-07,1.96,2,312
Sunny Studio in Brooklyn,Brooklyn,Downtown Brooklyn,40.69682,-73.9837,Entire home/apt,140,3,131,2019-06-29,3.24,1,28
Warm & lovely garden duplex in BK,Brooklyn,Fort Greene,40.68786,-73.97339,Entire home/apt,300,1,5,2015-07-10,0.09,1,0
Cozy Bedroom with en suite bathroom,Manhattan,Harlem,40.82498,-73.93629,Private room,90,1,5,2017-08-26,0.11,1,0
"""The Studio"" Harlem Brownstone",Manhattan,Harlem,40.81892,-73.94647,Private room,70,3,86,2019-01-15,1.48,2,157
Chic NYC apt - near train & 42st St,Manhattan,Harlem,40.80985,-73.94348,Private room,90,2,82,2018-02-01,1.53,1,0
Entire Home/1 Bedroom Apt LES,Manhattan,Lower East Side,40.72005,-73.98649,Entire home/apt,200,30,35,2019-06-26,0.61,1,286
"Sunny, Charming, and Zen",Manhattan,East Village,40.72934,-73.98603,Entire home/apt,135,1,6,2015-12-27,0.1,1,0
Private room overlooking yard in prime Bushwick,Brooklyn,Bushwick,40.70495,-73.9209,Private room,37,1,202,2019-07-01,3.74,1,73
Beautiful Williamsburg Private Room,Brooklyn,Williamsburg,40.71243,-73.95655,Private room,60,1,1,2014-09-23,0.02,1,0
"LUXURY entire apt, steps to Central Park",Manhattan,Upper West Side,40.77607,-73.98035,Entire home/apt,419,2,10,2019-04-21,0.47,1,10
Gorgeous Newly-Renovated Apt,Queens,Ridgewood,40.70293,-73.90771,Entire home/apt,130,7,2,2016-01-07,0.03,1,0
"Sunny 2BR in Brooklyn townhouse, steps to subway",Brooklyn,Windsor Terrace,40.65282,-73.97394,Entire home/apt,180,3,56,2019-05-28,0.99,1,121
Beautiful apartment on the UES,Manhattan,Upper East Side,40.76968,-73.9593,Entire home/apt,160,2,7,2016-05-03,0.12,1,0
Williamsburg/Greenpoint Studio,Brooklyn,Greenpoint,40.72126,-73.94328,Entire home/apt,125,2,204,2019-06-30,3.51,1,71
Spacious room in Bed-Stuy,Brooklyn,Bedford-Stuyvesant,40.68514,-73.93207,Entire home/apt,100,1,0,,,2,0
Basement 别墅的地下室,Queens,Forest Hills,40.71146,-73.84677,Private room,65,4,20,2019-05-25,0.35,5,133
Modern South Slope Studio w View,Brooklyn,Sunset Park,40.66355,-73.99547,Entire home/apt,140,1,0,,,1,0
1 Bedroom & Semi- Private Living Area,Queens,Sunnyside,40.74059,-73.91985,Private room,79,3,23,2018-08-31,0.4,1,88
Bedford Ave,Brooklyn,Williamsburg,40.71794,-73.95682,Private room,125,2,0,,,1,0
Cozy little studio in Chelsea,Manhattan,Chelsea,40.74411,-74.00204,Entire home/apt,115,3,33,2019-06-15,0.57,1,11
Studio Apt,Manhattan,Hell's Kitchen,40.7555,-73.9926,Private room,100,23,12,2018-08-04,0.22,1,23
Very Sunny Private Room with Bath,Brooklyn,Crown Heights,40.67205,-73.95092,Private room,90,12,24,2017-06-19,0.41,1,64
Central Harlem Private Studio,Manhattan,Harlem,40.80709,-73.94952,Entire home/apt,135,2,232,2019-06-23,4.01,1,192
Comfy and Smart on Prospect Park,Brooklyn,Prospect-Lefferts Gardens,40.66079,-73.95693,Private room,50,3,47,2019-03-31,0.84,3,76
Cozy Bedroom in BK Apt,Brooklyn,Prospect Heights,40.67579,-73.9679,Private room,71,2,174,2019-07-03,3.0,2,3
"1 BDRM APT, 15 MINS FROM MANHATTAN",Queens,Ridgewood,40.70599,-73.89755,Entire home/apt,80,30,4,2017-02-01,0.08,1,220
Location is Everything. And Quiet Too!,Manhattan,Hell's Kitchen,40.76444,-73.98965,Private room,103,1,394,2019-06-30,6.79,1,237
Luxury One Bedroom View on CP,Manhattan,Upper West Side,40.79545,-73.96595,Entire home/apt,250,30,5,2017-08-02,0.1,10,303
true 1 BR in prime east village,Manhattan,East Village,40.72784,-73.99104,Entire home/apt,219,2,9,2017-09-22,0.15,1,0
Large Group Friendly Rental,Brooklyn,Canarsie,40.62864,-73.89265,Entire home/apt,225,2,11,2019-06-02,0.22,2,305
Cozy East River 1 bed/1 bath,Manhattan,East Harlem,40.79591,-73.93316,Entire home/apt,99,1,50,2019-07-06,0.87,1,333
16' x 11' Furnished BR with Balcony,Brooklyn,Sunset Park,40.64076,-74.0224,Private room,35,6,1,2014-11-28,0.02,1,0
Bedroom in Manhattan - Prime Location,Manhattan,Upper East Side,40.76805,-73.95424,Private room,90,4,87,2019-06-13,2.01,1,10
Private room in Loft,Queens,Ridgewood,40.69518,-73.9038,Private room,47,30,4,2017-08-05,0.07,1,157
Luxury Private 2 Beds nr C/3 Subways,Brooklyn,Crown Heights,40.67495,-73.93845,Private room,75,5,125,2019-06-27,2.15,5,108
An Open and Peaceful Space Great for Families,Brooklyn,Windsor Terrace,40.65337,-73.97483,Entire home/apt,170,4,43,2019-06-27,0.77,1,275
Charming Full 1BR Apt w/Backyard,Brooklyn,Flatbush,40.63512,-73.95815,Entire home/apt,150,3,37,2019-07-01,0.86,1,320
Happy cozy Manchi GUEST ROOM,Brooklyn,Flatbush,40.63995,-73.96196,Shared room,30,1,81,2019-06-29,1.39,1,319
Gorgeous UWS apt with OWN full bath,Manhattan,Upper West Side,40.78398,-73.97795,Private room,119,4,7,2017-05-11,0.12,2,0
